#v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,purchasedProductID,userID
,,1,0,0,,,,,400,10,66
,,0,1,0,,,,,579,15,67
,,1,1,1,,,,,579,3,68
,,1,1,0,,,,,1649,10,69
,,1,1,0,,,,,749,15,70
,,0,1,1,,,,,749,15,71
,,0,1,1,,,,,1129,6,72
,,0,0,0,,,,,749,11,73
,,0,0,1,,,,,1649,5,74
,,1,1,0,,,,,1129,3,75
,,1,1,0,,,,,2329,0,76
,,1,1,0,,,,,499,9,77
,,1,1,,0,0,,,,2,78
,,1,1,,0,0,,,,14,79
,,0,0,,1,3,,,,1,80
,,0,0,,0,2,,,,4,81
,,0,0,,0,2,,,,8,82
,,1,1,,1,0,,,,6,83
,,0,1,,0,3,,,,4,84
,,0,1,,0,0,,,,16,85
,,1,1,,1,1,,,,16,86
,,0,0,,0,0,,,,3,87
,,0,0,,1,0,,,,11,88
,,0,0,,0,1,,,,16,89
,,0,1,,1,2,,,,16,90
,,0,0,,0,0,,,,3,91
,,1,1,,0,1,,,,9,92
,,0,1,,0,3,,,,15,93
,,0,0,,0,3,,,,10,94
,,0,1,,0,0,,,,5,95
,,0,1,,0,0,,,,16,96
,,0,0,,1,3,,,,9,97
208,,,0,0,0,,,,,16,98
208,,,0,0,0,,,,,9,99
241,,,1,0,0,,,,,18,100
363,,,1,1,1,,,,,3,101
102,,,1,0,1,,,,,10,102
162,,,0,1,0,,,,,10,103
241,,,1,0,1,,,,,3,104
363,,,1,1,1,,,,,6,105
61,,,1,0,0,,,,,3,106
241,,,0,0,0,,,,,4,107
102,,,0,1,0,,,,,3,108
243,,,1,0,1,,,,,5,109
123,,,0,0,0,,,,,11,110
142,,,0,0,0,,,,,10,111
209,,,1,1,0,,,,,3,112
241,,,1,0,1,,,,,18,113
123,,,0,0,0,,,,,7,114
243,,,1,1,0,,,,,16,115
208,,,1,0,0,,,,,3,116
162,,,0,0,0,,,,,15,117
,32,0,,0,0,,,,,15,118
,25,0,,0,0,,,,,16,119
,25,1,,0,0,,,,,18,120
,30,1,,1,1,,,,,16,121
,27,1,,0,1,,,,,16,122
,30,0,,0,0,,,,,15,123
,30,0,,0,1,,,,,4,124
,25,1,,0,1,,,,,3,125
,30,0,,0,0,,,,,13,126
,25,0,,0,0,,,,,10,127
,27,1,,0,0,,,,,10,128
,27,1,,0,0,,,,,14,129
,27,1,,0,1,,,,,18,130
,30,1,,0,0,,,,,14,131
,30,1,,0,1,,,,,0,132
,30,0,,0,0,,,,,15,133
,25,0,,0,1,,,,,11,134
,18,0,,0,0,,,,,2,135
,30,1,,0,1,,,,,10,136
,30,0,,0,0,,,,,9,137
162,,0,0,1,0,,,,,12,138
208,,0,1,0,1,,,,,15,139
241,,0,0,0,0,,,,,9,140
208,,0,0,0,0,,,,,3,141
363,,0,0,0,0,,,,,14,142
208,,0,0,0,1,,,,,5,143
209,,1,1,0,0,,,,,16,144
242,,0,1,0,0,,,,,6,145
123,,1,1,0,1,,,,,3,146
363,,0,1,1,0,,,,,3,147
123,,0,1,1,0,,,,,5,148
208,,1,1,1,1,,,,,0,149
208,,0,1,0,0,,,,,0,150
162,,0,0,0,0,,,,,11,151
102,,1,1,0,0,,,,,15,152
142,,1,0,0,0,,,,,3,153
242,,1,1,0,0,,,,,6,154
242,,0,0,0,0,,,,,4,155
209,,1,0,0,0,,,,,3,156
123,,0,0,0,0,,,,,17,157
,,,0,0,1,,,,749,17,158
,,,0,0,1,,,,749,1,159
,,,0,0,1,,,,749,16,160
,,,0,0,0,,,,499,9,161
,,,1,0,1,,,,2749,3,162
,,,1,1,1,,,,3229,0,163
,,,1,0,1,,,,669,14,164
,,,1,0,1,,,,1129,17,165
,,,0,0,0,,,,749,6,166
,,,1,0,1,,,,499,9,167
,,,0,0,1,,,,1649,4,168
,,,1,1,1,,,,499,9,169
,,,1,1,1,,,,749,4,170
,,,1,0,0,,,,1129,18,171
,,,1,1,1,,,,1649,3,172
,,,0,0,1,,,,749,9,173
,,,1,0,0,,,,669,9,174
,,,1,0,0,,,,609,4,175
,,,0,0,0,,,,749,10,176
,,,0,0,0,,,,1129,18,177
,,0,0,,1,3,,,,9,178
,,1,0,,0,2,,,,1,179
,,1,1,,1,0,,,,9,180
,,0,0,,0,2,,,,15,181
,,1,0,,0,2,,,,9,182
,,0,0,,0,1,,,,16,183
,,1,1,,1,0,,,,0,184
,,1,1,,0,3,,,,0,185
,,1,1,,1,1,,,,17,186
,,0,0,,0,4,,,,19,187
,,0,1,,1,3,,,,3,188
,,0,1,,0,0,,,,16,189
,,1,0,,0,0,,,,10,190
,,1,0,,0,2,,,,9,191
,,0,0,,1,2,,,,17,192
,,1,1,,1,1,,,,14,193
,,1,0,,0,3,,,,16,194
,,1,0,,0,2,,,,8,195
,,1,1,,0,4,,,,0,196
,,0,0,,1,2,,,,17,197
243,,0,,0,0,,,,,10,198
243,,0,,0,0,,,,,10,199
241,,0,,1,0,,,,,9,200
208,,0,,0,0,,,,,18,201
162,,1,,1,1,,,,,9,202
209,,0,,0,0,,,,,15,203
142,,0,,0,1,,,,,18,204
209,,0,,0,0,,,,,15,205
209,,1,,1,0,,,,,18,206
242,,0,,0,0,,,,,14,207
123,,1,,0,0,,,,,9,208
363,,1,,0,0,,,,,18,209
142,,0,,0,1,,,,,4,210
209,,0,,0,0,,,,,14,211
102,,0,,0,0,,,,,2,212
243,,1,,1,1,,,,,16,213
241,,1,,0,1,,,,,3,214
209,,0,,0,0,,,,,17,215
208,,0,,0,0,,,,,14,216
242,,1,,0,1,,,,,15,217
,27,0,0,0,,,,,,6,218
,25,0,1,0,,,,,,14,219
,25,1,1,1,,,,,,16,220
,18,0,0,0,,,,,,18,221
,27,0,1,1,,,,,,16,222
,32,1,1,1,,,,,,15,223
,25,0,1,0,,,,,,14,224
,30,1,0,0,,,,,,14,225
,27,0,0,1,,,,,,10,226
,27,0,1,0,,,,,,18,227
,27,1,1,0,,,,,,7,228
,30,0,0,0,,,,,,4,229
,25,0,1,0,,,,,,8,230
,27,0,0,1,,,,,,1,231
,25,1,1,1,,,,,,18,232
,30,1,1,0,,,,,,17,233
,25,1,1,0,,,,,,5,234
,30,1,0,0,,,,,,16,235
,27,0,1,1,,,,,,18,236
,27,1,0,0,,,,,,14,237
,,1,,1,1,3,,,,15,238
,,0,,0,1,2,,,,16,239
,,0,,0,0,1,,,,14,240
,,1,,1,1,3,,,,16,241
,,0,,0,0,3,,,,5,242
,,0,,1,1,2,,,,15,243
,,0,,0,0,3,,,,15,244
,,1,,0,0,2,,,,16,245
,,0,,0,0,1,,,,9,246
,,0,,0,1,1,,,,18,247
,,0,,0,1,4,,,,10,248
,,0,,0,0,1,,,,10,249
,,0,,0,0,2,,,,4,250
,,0,,0,1,1,,,,8,251
,,0,,0,1,2,,,,13,252
,,0,,0,0,2,,,,10,253
,,0,,0,0,0,,,,8,254
,,0,,0,0,2,,,,18,255
,,0,,1,0,4,,,,6,256
,,0,,0,1,0,,,,15,257
208,,,0,0,0,,,,,16,258
242,,,1,0,0,,,,,16,259
241,,,1,1,0,,,,,16,260
102,,,0,1,0,,,,,8,261
243,,,1,1,1,,,,,5,262
162,,,0,0,1,,,,,15,263
